"EPCI_EPT","VAR","loc","fra","b100","TYPO_FREI","LIB_VAR_SH","LIB_VAR_LG","Unite","Source"
"200007177","equ3",24.1366533222573,26.3159246878169,91.7188113607558,"MOY","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200010650","fam1",7.26500459793807,8.39564661886221,86.5329965367532,"MOY","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200010650","fam3",5.01220263794286,5.52734782524417,90.6800656736569,"MOY","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200010650","emp2",37.76,29.81,126.668903052667,"MOY","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200010650","for2",54.9426573322393,48.5157951419143,113.246948074386,"MOY","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200010650","equ1",32.7125118587793,40.7,80.3747220117427,"MOY","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200010650","equ2",31.0423906140906,20.0468435617419,154.849268506954,"MOY","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
"200010650","equ3",24.7603948957842,26.3159246878169,94.0890171617155,"MOY","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200010700","fam1",6.64158483610541,8.39564661886221,79.1074843620024,"DEG","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200010700","fam3",6.55820433258353,5.52734782524417,118.650111046591,"DEG","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200010700","emp2",49.94,29.81,167.527675276753,"DEG","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200010700","for2",59.3041173159192,48.5157951419143,122.236721344972,"DEG","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200010700","equ1",43.8531889660665,40.7,107.747393037018,"DEG","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200010700","equ2",29.5716954243466,20.0468435617419,147.512975463042,"DEG","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
"200010700","equ3",22.9935579983406,26.3159246878169,87.3750714486031,"DEG","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200011773","fam1",8.76361686646844,8.39564661886221,104.38286965032,"MOY","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200011773","fam3",5.68580151035495,5.52734782524417,102.866721800772,"MOY","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200011773","emp2",31.34,29.81,105.132505870513,"MOY","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200011773","for2",47.4726560808422,48.5157951419143,97.8498980424401,"MOY","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200011773","equ1",61.7073001519071,40.7,151.614988088224,"MOY","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200011773","equ2",17.3212919143086,20.0468435617419,86.4040858151117,"MOY","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
"200011773","equ3",24.0705397428265,26.3159246878169,91.4675810497745,"MOY","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200011781","fam1",5.40708908619708,8.39564661886221,64.4034858976694,"MOY","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200011781","fam3",3.83641934830077,5.52734782524417,69.4079596507263,"MOY","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200011781","emp2",44.16,29.81,148.138208654814,"MOY","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200011781","for2",60.5145925930476,48.5157951419143,124.731734100277,"MOY","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200011781","equ1",NA,NA,NA,"MOY","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200011781","equ2",26.1053590334749,20.0468435617419,130.221792538429,"MOY","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
"200011781","equ3",27.1514921978642,26.3159246878169,103.175140223874,"MOY","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200013050","fam1",7.5143474287537,8.39564661886221,89.5029027528562,"MOY","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200013050","fam3",4.05253297930192,5.52734782524417,73.3178570885921,"MOY","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200013050","emp2",41.16,29.81,138.074471653807,"MOY","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200013050","for2",56.5607958412682,48.5157951419143,116.582229922897,"MOY","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200013050","equ1",NA,NA,NA,"MOY","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200013050","equ2",43.086000615204,20.0468435617419,214.926606687503,"MOY","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
"200013050","equ3",19.9591341695306,26.3159246878169,75.8443201457057,"MOY","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200015162","fam1",7.73303082982338,8.39564661886221,92.1076264983551,"DEG","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200015162","fam3",3.22123520654604,5.52734782524417,58.2781346206259,"DEG","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200015162","emp2",39.58,29.81,132.774236833277,"DEG","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200015162","for2",55.4587538824486,48.5157951419143,114.310718231507,"DEG","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200015162","equ1",NA,NA,NA,"DEG","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200015162","equ2",36.3553711215719,20.0468435617419,181.352096700918,"DEG","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
"200015162","equ3",60.099553682758,26.3159246878169,228.377130561486,"DEG","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200016905","fam1",5.61636973420294,8.39564661886221,66.8962140639035,"MOY","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200016905","fam3",3.87990576017202,5.52734782524417,70.1947097023992,"MOY","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
