"EPCI_EPT","TYPO_IPCE","TYPO_INEG2","TYPO_FREI"
"200066462","MOY","Q3","DEGP"
"200066512","FAVP","Q2","MOY"
"200066520","MOY","Q4","DEG"
"200066553","DEG","Q4","DEG"
"200066561","FAV","Q3","DEGP"
"200066587","FAVP","Q3","DEGP"
"200066603","FAV","Q1","FAV"
"200066637","FAV","Q3","MOY"
"200066645","FAV","Q2","DEG"
"200066652","FAV","Q3","MOY"
"200066660","FAV","Q2","MOY"
"200066678","FAV","Q2","FAV"
"200066710","FAVP","Q3","MOY"
"200066728","FAVP","Q2","MOY"
"200066744","MOY","Q2","DEG"
"200066751","MOY","Q1","DEG"
"200066769","FAVP","Q2","DEG"
"200066777","FAV","Q2","MOY"
"200066785","FAV","Q3","MOY"
"200066793","FAVP","Q2","FAV"
"200066801","FAV","Q4","DEGP"
"200066819","FAV","Q3","MOY"
"200066827","FAV","Q3","DEG"
"200066835","MOY","Q4","DEGP"
"200066850","FAV","Q3","MOY"
"200066868","DEG","Q5","FAVP"
"200066876","MOY","Q3","MOY"
"200066884","MOY","Q4","DEGP"
"200066892","FAV","Q3","MOY"
"200066918","DEGP","Q4","DEGP"
"200066926","MOY","Q1","MOY"
"200066975","FAVP","Q2","DEG"
"200067023","FAV","Q2","DEG"
"200067031","MOY","Q4","DEG"
"200067049","MOY","Q3","DEG"
"200067064","DEGP","Q4","DEG"
"200067072","FAV","Q3","FAV"
"200067080","MOY","Q3","FAV"
"200067106","FAV","Q1","FAV"
"200067114","MOY","Q1","MOY"
"200067122","MOY","Q4","DEG"
"200067130","MOY","Q3","DEGP"
"200067155","MOY","Q4","DEG"
"200067163","FAV","Q1","FAV"
"200067171","FAVP","Q2","MOY"
"200067189","MOY","Q3","DEG"
"200067197","DEG","Q4","DEGP"
"200067205","MOY","Q4","DEG"
"200067213","MOY","Q2","MOY"
"200067239","FAVP","Q3","FAV"
"200067247","FAV","Q4","FAV"
"200067254","MOY","Q2","MOY"
"200067262","MOY","Q2","MOY"
"200067288","DEG","Q5","DEG"
"200067296","FAVP","Q3","FAV"
"200067304","DEG","Q3","MOY"
"200067320","FAV","Q4","FAV"
"200067346","FAV","Q3","FAVP"
"200067361","MOY","Q3","MOY"
"200067379","DEG","Q4","DEGP"
"200067429","DEG","Q3","DEGP"
"200067437","MOY","Q2","MOY"
"200067445","FAV","Q4","MOY"
"200067452","FAVP","Q3","FAV"
"200067460","MOY","Q2","MOY"
"200067478","FAVP","Q2","FAVP"
"200067486","FAV","Q5","DEG"
"200067502","DEG","Q5","DEGP"
"200067544","MOY","Q2","DEG"
"200067551","FAV","Q4","FAV"
"200067593","MOY","Q1","FAV"
"200067627","FAV","Q2","FAV"
"200067635","FAVP","Q2","FAVP"
"200067643","FAV","Q4","MOY"
"200067650","FAV","Q4","DEG"
"200067668","MOY","Q4","DEGP"
"200067676","FAV","Q3","DEG"
"200067684","MOY","Q2","FAV"
"200067692","MOY","Q2","DEGP"
"200067700","DEG","Q3","MOY"
"200067742","FAV","Q5","MOY"
"200067759","DEGP","Q5","DEG"
"200067767","MOY","Q3","FAV"
"200067783","FAV","Q4","MOY"
"200067791","MOY","Q2","FAV"
"200067817","FAVP","Q2","DEG"
"200067825","MOY","Q4","FAV"
"200067841","MOY","Q4","MOY"
"200067866","FAVP","Q3","FAVP"
"200067874","FAV","Q2","FAV"
"200067882","MOY","Q3","DEG"
"200067890","MOY","Q2","DEGP"
"200067908","MOY","Q2","MOY"
"200067916","MOY","Q3","MOY"
"200067924","FAV","Q3","FAV"
"200067932","FAV","Q1","FAVP"
"200067940","DEG","Q1","DEG"
"200067957","FAVP","Q3","FAV"
"200067965","MOY","Q2","DEG"
"200067973","FAV","Q2","DEG"
"200067981","MOY","Q2","DEG"
"200067999","DEG","Q2","DEGP"
"200068005","MOY","Q3","DEGP"
"200068047","DEGP","Q5","DEGP"
"200068070","FAVP","Q2","MOY"
"200068088","MOY","Q2","DEG"
"200068096","FAV","Q3","FAV"
"200068104","MOY","Q3","MOY"
"200068112","FAV","Q2","FAV"
"200068120","MOY","Q1","FAVP"
"200068146","MOY","Q3","DEG"
"200068229","DEGP","Q3","DEG"
"200068278","MOY","Q3","DEG"
"200068294","MOY","Q5","MOY"
"200068369","MOY","Q3","FAV"
"200068377","MOY","Q2","MOY"
"200068435","MOY","Q2","DEGP"
"200068443","MOY","Q2","MOY"
"200068450","MOY","Q1","MOY"
"200068468","MOY","Q3","DEG"
"200068484","FAVP","Q2","MOY"
"200068500","DEG","Q4","MOY"
"200068534","FAV","Q4","MOY"
"200068542","FAVP","Q3","DEG"
"200068559","DEG","Q4","DEGP"
"200068567","FAV","Q3","DEG"
"200068625","MOY","Q3","DEG"
"200068641","MOY","Q2","MOY"
"200068658","FAV","Q2","MOY"
"200068666","DEGP","Q4","DEGP"
"200068674","FAVP","Q3","FAV"
"200068682","MOY","Q3","FAV"
"200068757","MOY","Q2","MOY"
"200068765","DEG","Q3","DEGP"
"200068773","MOY","Q4","DEGP"
"200068781","MOY","Q3","MOY"
"200068799","MOY","Q3","DEG"
"200068807","FAV","Q3","FAV"
"200068815","MOY","Q3","DEG"
"200068831","FAVP","Q2","FAV"
"200068856","MOY","Q4","DEGP"
"200068864","FAVP","Q2","FAV"
"200068872","MOY","Q2","FAV"
"200068880","FAV","Q2","MOY"
"200068914","MOY","Q3","MOY"
"200068922","DEG","Q4","DEG"
"200068930","DEG","Q4","MOY"
"200068948","MOY","Q2","MOY"
"200068955","FAV","Q3","DEG"
"200068963","FAVP","Q2","MOY"
"200068989","FAV","Q2","MOY"
"200068997","MOY","Q4","DEG"
"200069003","MOY","Q1","MOY"
"200069029","DEG","Q3","FAV"
"200069037","DEGP","Q5","DEG"
"200069052","DEG","Q4","MOY"
"200069060","FAV","Q2","FAV"
"200069086","FAV","Q2","MOY"
"200069094","MOY","Q2","DEG"
"200069102","MOY","Q3","MOY"
"200069110","FAV","Q2","FAV"
"200069128","FAV","Q1","MOY"
"200069136","DEG","Q5","FAV"
"200069144","FAV","Q2","DEGP"
"200069151","MOY","Q2","FAV"
"200069169","FAVP","Q2","MOY"
"200069177","FAVP","Q2","FAVP"
"200069185","FAV","Q2","FAVP"
"200069193","FAVP","Q2","DEG"
"200069227","MOY","Q3","DEG"
"200069235","MOY","Q5","DEG"
"200069250","MOY","Q2","DEG"
"200069268","FAV","Q2","MOY"
"200069300","DEG","Q3","MOY"
"200069383","DEG","Q3","DEG"
"200069391","FAVP","Q2","MOY"
"200069409","FAV","Q2","FAV"
"200069417","MOY","Q3","MOY"
"200069425","FAV","Q2","FAV"
"200069433","DEG","Q4","DEGP"
"200069441","MOY","Q5","DEGP"
"200069458","MOY","Q2","MOY"
"200069482","FAV","Q4","MOY"
"200069516","FAVP","Q2","MOY"
"200069524","FAV","Q3","DEG"
"200069532","MOY","Q2","DEG"
"200069540","FAVP","Q2","FAV"
"200069565","FAVP","Q4","FAV"
"200069581","FAV","Q2","FAV"
"200069599","FAV","Q3","DEG"
"200069615","FAVP","Q2","FAVP"
"200069623","FAV","Q4","FAV"
"200069631","MOY","Q3","FAV"
"200069649","FAV","Q3","MOY"
"200069656","DEG","Q3","DEGP"
"200069664","MOY","Q3","DEG"
"200069672","DEGP","Q5","DEGP"
"200069698","FAV","Q2","FAV"
"200069722","MOY","Q4","DEG"
"200069730","MOY","Q2","DEGP"
"200069748","FAV","Q3","MOY"
"200069755","MOY","Q3","MOY"
"200069763","FAVP","Q3","MOY"
"200069821","DEG","Q4","FAV"
"200069839","MOY","Q5","DEGP"
"200069847","MOY","Q3","DEG"
"200069854","MOY","Q1","FAV"
"200069912","MOY","Q3","MOY"
"200069953","FAVP","Q2","DEG"
"200069961","MOY","Q3","DEGP"
"200069995","DEG","Q3","DEGP"
"200070035","MOY","Q3","FAV"
"200070043","MOY","Q3","DEG"
"200070068","MOY","Q4","FAV"
"200070092","DEG","Q3","MOY"
"200070100","MOY","Q3","DEG"
"200070118","FAVP","Q3","MOY"
"200070126","MOY","Q4","DEG"
"200070142","FAV","Q3","DEG"
"200070159","FAV","Q3","DEGP"
"200070167","FAV","Q3","DEGP"
"200070183","FAVP","Q1","DEG"
"200070233","FAVP","Q2","FAVP"
"200070282","DEG","Q4","MOY"
"200070290","MOY","Q5","DEGP"
"200070308","MOY","Q3","DEG"
"200070316","MOY","Q4","FAVP"
"200070324","MOY","Q2","DEGP"
"200070332","DEG","Q5","DEGP"
"200070340","FAVP","Q4","FAVP"
"200070365","DEG","Q3","DEGP"
"200070373","DEG","Q3","MOY"
"200070407","MOY","Q3","MOY"
"200070431","FAV","Q4","FAV"
"200070449","FAVP","Q2","FAV"
"200070464","MOY","Q4","FAV"
"200070506","FAV","Q2","MOY"
"200070514","MOY","Q3","FAV"
"200070530","MOY","Q3","FAV"
"200070548","MOY","Q4","FAV"
"200070555","FAVP","Q2","DEG"
"200070563","MOY","Q2","DEG"
"200070571","MOY","Q4","FAVP"
"200070589","FAVP","Q2","MOY"
"200070647","DEG","Q2","MOY"
"200070662","FAVP","Q3","MOY"
"200070670","MOY","Q3","MOY"
"200070688","FAVP","Q3","DEG"
"200070712","DEG","Q3","DEG"
"200070720","DEG","Q4","MOY"
"200070738","FAVP","Q2","MOY"
"200070746","DEG","Q4","DEG"
"200070753","FAVP","Q1","FAV"
"200070761","MOY","Q3","MOY"
"200070779","FAVP","Q1","DEGP"
"200070787","MOY","Q1","MOY"
"200070795","MOY","Q1","DEG"
"200070803","FAVP","Q3","MOY"
"200070811","FAV","Q2","MOY"
"200070829","MOY","Q4","DEG"
"200070845","MOY","Q4","DEG"
"200070852","FAV","Q5","MOY"
"200070894","FAVP","Q2","FAVP"
"200070902","FAV","Q3","DEG"
"200070910","FAV","Q2","DEG"
"200070928","DEGP","Q5","DEGP"
"200070936","DEG","Q3","FAV"
"200070944","DEG","Q3","FAV"
"200070951","MOY","Q3","DEG"
"200070969","FAV","Q3","DEG"
"200070977","DEGP","Q4","DEGP"
"200070985","DEGP","Q5","DEGP"
"200070993","DEGP","Q2","MOY"
"200071017","FAV","Q1","DEG"
"200071025","MOY","Q4","DEGP"
"200071033","MOY","Q2","MOY"
"200071041","MOY","Q4","DEGP"
"200071058","DEG","Q4","MOY"
"200071066","DEG","Q3","DEG"
"200071074","FAV","Q3","DEGP"
"200071082","MOY","Q3","MOY"
"200071116","MOY","Q3","MOY"
"200071140","FAV","Q1","DEG"
"200071165","MOY","Q1","FAVP"
"200071173","FAV","Q4","MOY"
"200071181","MOY","Q2","MOY"
"200071199","MOY","Q3","DEG"
"200071207","MOY","Q3","MOY"
"200071215","FAVP","Q3","MOY"
"200071223","MOY","Q3","FAV"
"200071298","FAVP","Q2","FAV"
"200071314","FAVP","Q3","MOY"
"200071363","MOY","Q3","MOY"
"200071371","FAV","Q3","MOY"
"200071389","MOY","Q3","DEG"
"200071405","DEG","Q5","DEG"
"200071413","MOY","Q4","FAV"
"200071454","MOY","Q1","DEGP"
"200071470","DEG","Q4","MOY"
"200071496","MOY","Q2","DEG"
"200071504","MOY","Q2","MOY"
"200071512","DEG","Q3","MOY"
"200071520","MOY","Q3","MOY"
"200071538","FAV","Q3","FAV"
"200071546","FAV","Q4","DEG"
"200071553","FAVP","Q2","FAV"
"200071579","MOY","Q3","FAV"
"200071587","MOY","Q1","FAVP"
"200071595","FAVP","Q2","FAV"
"200071629","FAV","Q3","FAVP"
"200071645","FAVP","Q2","MOY"
"200071652","FAVP","Q1","DEG"
"200071678","FAV","Q4","FAVP"
"200071751","FAV","Q2","MOY"
"200071769","MOY","Q5","DEG"
"200071777","MOY","Q5","DEG"
"200071785","DEGP","Q5","DEGP"
"200071819","MOY","Q2","MOY"
"200071827","MOY","Q1","MOY"
"200071843","MOY","Q2","DEGP"
"200071850","MOY","Q2","DEGP"
"200071868","FAV","Q3","FAV"
"200071876","DEG","Q3","DEG"
"200071884","MOY","Q3","DEG"
"200071892","DEGP","Q3","DEGP"
"200071900","MOY","Q3","FAVP"
"200071918","FAVP","Q3","MOY"
"200071926","DEGP","Q2","MOY"
"200071934","MOY","Q2","DEG"
"200071942","DEG","Q3","DEG"
"200071967","FAV","Q4","FAV"
"200071983","DEGP","Q5","DEGP"
"200071991","MOY","Q4","DEGP"
"200072007","FAV","Q4","DEG"
"200072015","MOY","Q4","MOY"
"200072023","MOY","Q3","FAV"
"200072031","DEG","Q2","DEGP"
"200072049","DEG","Q4","MOY"
"200072056","MOY","Q4","DEG"
"200072064","MOY","Q1","MOY"
"200072072","MOY","Q2","DEG"
"200072080","DEG","Q3","DEGP"
"200072098","FAVP","Q2","MOY"
"200072106","MOY","Q2","DEGP"
"200072130","MOY","Q1","DEGP"
"200072304","FAVP","Q2","FAV"
"200072312","MOY","Q3","DEGP"
"200072320","FAVP","Q1","FAV"
"200072346","FAV","Q1","FAV"
"200072452","MOY","Q1","MOY"
"200072460","DEG","Q5","DEGP"
"200072478","DEG","Q5","DEG"
